Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
DMA,"Personal remittances, received (current US$)",51914982.5685926,44033723.6654388,44351321.0767778,42141418.3715478,47506082.4979811,33656322.3950963,40200060.1283696,37783388.6283696,34332817.3578796
DMA,"Personal remittances, received (% of GDP)",9.60078171324461,7.64169723340006,8.50372228941408,7.59619125718876,7.76830831508639,6.67499672881635,7.23977550636984,6.22297824700322,5.24972572269903
DMA,Control of Corruption: Estimate,0.607112109661102,0.62417334318161,0.634742200374603,0.535799264907837,0.521607756614685,0.556784510612488,0.547485947608948,0.539586186408997,0.544514536857605
DMA,Control of Corruption: Number of Sources,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
DMA,Control of Corruption: Percentile Rank,70.9523773193359,70.9523773193359,71.9047622680664,69.523811340332,67.6190490722656,69.523811340332,68.5714263916016,69.3396224975586,67.4528274536133
DMA,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",60.9523811340332,61.4285697937012,62.3809509277344,59.523811340332,59.0476188659668,59.523811340332,59.0476188659668,58.9622650146484,58.9622650146484
DMA,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",80.9523773193359,80.0,81.4285736083984,80.0,80.0,80.476188659668,80.476188659668,80.1886825561523,80.1886825561523
DMA,Control of Corruption: Standard Error,0.236835733056068,0.233841791749001,0.233903810381889,0.226424396038055,0.228563636541367,0.226489096879959,0.240406423807144,0.246695190668106,0.254782319068909
DMA,"Net bilateral aid flows from DAC donors, Australia (current US$)",59999.9986588955,39999.9991059303,529999.971389771,740000.009536743,50000.0007450581,40000.0000372529,29999.9993294477,29999.9993294477,29999.9993294477
DMA,"Net bilateral aid flows from DAC donors, Canada (current US$)",239999.994635582,575000.0104308131,910000.026226044,4449999.80926514,1179999.94754791,1820000.05245209,1399999.97615814,2269999.98092651,2269999.98092651
DMA,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",2319999.9332428,9720000.26702881,9439999.5803833,16069999.6948242,13109999.6566772,2500000.0,1269999.98092651,6190000.05722046,6190000.05722046
DMA,"Net bilateral aid flows from DAC donors, Germany (current US$)",29999.9993294477,39999.9991059303,90000.0035762787,39999.9991059303,100000.001490116,119999.997317791,119999.997317791,150000.005960464,150000.005960464
DMA,"Net bilateral aid flows from DAC donors, France (current US$)",-230000.004172325,-2400000.09536743,-2839999.91416931,-3400000.09536743,-3059999.94277954,-1600000.02384186,-519999.980926514,-1940000.05722046,-1940000.05722046
DMA,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",750000.0,59999.9986588955,100000.001490116,529999.971389771,1350000.02384186,1259999.99046326,980000.019073486,959999.978542328,959999.978542328
DMA,"Net bilateral aid flows from DAC donors, Japan (current US$)",460000.00834465,2910000.08583069,159999.996423721,2329999.92370605,540000.021457672,639999.985694885,2710000.03814697,5280000.20980835,5280000.20980835
DMA,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",180000.007152557,119999.997317791,9999.99977648258,100000.001490116,19999.9995529652,13333.333035310134,6666.666517655067,0.0,0.0
DMA,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",9999.99977648258,79999.9982118607,140000.000596046,19999.9995529652,109999.999403954,109999.999403954,39999.9991059303,19999.9995529652,19999.9995529652
DMA,"Net bilateral aid flows from DAC donors, Poland (current US$)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,19999.9995529652,19999.9995529652
DMA,"Net bilateral aid flows from DAC donors, Total (current US$)",4059999.93532896,10780000.2563745,9959999.64699149,25639999.5423853,17459999.7196346,5309999.98934567,7300000.0771135,13070000.1716614,13070000.1716614
DMA,"Net bilateral aid flows from DAC donors, United States (current US$)",19999.9995529652,150000.005960464,509999.990463257,4760000.22888184,3750000.0,289999.99165535,1200000.04768372,39999.9991059303,39999.9991059303
DMA,"External debt stocks, total (DOD, current US$)",317214934.8,300168362.9,299719824.9,278303809.0,277942461.4,329092931.5,377979729.3,400731257.3,400731257.3
