Country Code,Indicator Name,2017,2018,2019,2020
PHL,Consumption of iodized salt (% of households),,57.0,,
PHL,Container port traffic (TEU: 20 foot equivalent units),8249852.0,8859565.0,9333428.0,8019642.0
PHL,"Contraceptive prevalence, any method (% of married women ages 15-49)",54.3,,,
PHL,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",40.4,,,
PHL,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",10.5506350950548,8.88737687226205,9.16408212528956,9.92593299560722
PHL,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",4.96064098485432,4.13788664527891,4.24350251795864,4.45091680702618
PHL,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",7.06989407271191,5.9495798067868,6.14792488284041,6.55963287554263
PHL,Control of Corruption: Estimate,-0.507046699523926,-0.576285362243652,-0.605999052524567,-0.510496735572815
PHL,Control of Corruption: Number of Sources,12.0,12.0,12.0,12.0
PHL,Control of Corruption: Percentile Rank,38.5714302062988,32.8571434020996,30.9523811340332,33.3333320617676
PHL,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",26.1904754638672,24.2857151031494,23.3333339691162,25.7142848968506
PHL,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",45.238094329834,41.9047622680664,40.476188659668,45.238094329834
PHL,Control of Corruption: Standard Error,0.123314142227173,0.129079684615135,0.13590981066227,0.136654004454613
PHL,Cost of business start-up procedures (% of GNI per capita),19.7,24.0,23.3,
PHL,"Cost of business start-up procedures, female (% of GNI per capita)",19.7,24.0,23.3,
PHL,"Cost of business start-up procedures, male (% of GNI per capita)",19.7,24.0,23.3,
PHL,"Cost to export, border compliance (US$)",456.0048,456.0048,456.0048,
PHL,"Cost to export, documentary compliance (US$)",52.5,52.5,52.5,
PHL,"Cost to import, border compliance (US$)",689.5,689.5,689.5,
PHL,"Cost to import, documentary compliance (US$)",67.5,67.5,67.5,
PHL,Coverage of social insurance programs (% of population),,13.6550292272159,,
PHL,Coverage of social insurance programs in 2nd quintile (% of population),,9.3445006221735,,
PHL,Coverage of social insurance programs in 3rd quintile (% of population),,11.8976472967393,,
PHL,Coverage of social insurance programs in 4th quintile (% of population),,16.1585312411768,,
PHL,Coverage of social insurance programs in poorest quintile (% of population),,6.21726863792328,,
PHL,Coverage of social insurance programs in richest quintile (% of population),,24.655624271099,,
PHL,Coverage of social protection and labor programs (% of population),,43.0410765516831,,
PHL,Coverage of social safety net programs (% of population),,34.8885454228766,,
PHL,Coverage of social safety net programs in 2nd quintile (% of population),,47.0508926800797,,
PHL,Coverage of social safety net programs in 3rd quintile (% of population),,35.0064602134168,,
PHL,Coverage of social safety net programs in 4th quintile (% of population),,23.0464717666854,,
PHL,Coverage of social safety net programs in poorest quintile (% of population),,57.2387197621073,,
PHL,Coverage of social safety net programs in richest quintile (% of population),,12.1044382801072,,
PHL,Coverage of unemployment benefits and ALMP (% of population),,,,
PHL,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),,,,
PHL,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,,,
PHL,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,,,
PHL,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),,,,
PHL,Coverage of unemployment benefits and ALMP in richest quintile (% of population),,,,
PHL,Crop production index (2014-2016 = 100),103.23,102.8,101.81,102.93
PHL,Current account balance (% of GDP),-0.6523879294305766,-2.5593930631527098,-0.808557862517338,3.2006500923256422
PHL,"Current account balance (BoP, current US$)",-2142968677.37994,-8877047441.26577,-3046835246.6566997,11578388370.8856
PHL,"Current education expenditure, primary (% of total expenditure in primary public institutions)",,,,
PHL,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",,,,
PHL,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",,,,
PHL,"Current education expenditure, total (% of total expenditure in public institutions)",,,,
PHL,Current health expenditure (% of GDP),3.96,3.95,4.17,5.16
PHL,Current health expenditure per capita (current US$),122.0,126.0,142.0,166.0
PHL,"Current health expenditure per capita, PPP (current international $)",317.0,339.0,379.0,423.0
PHL,Customs and other import duties (% of tax revenue),20.35760795529523,23.115947990323267,22.289447925479415,21.469509343523782
PHL,Customs and other import duties (current LCU),458184000000.0,593111000000.0,630310000000.0,537687000000.0
PHL,DEC alternative conversion factor (LCU per US$),50.40372,52.66143,51.795783,49.624096
PHL,"Death rate, crude (per 1,000 people)",5.665,5.631,5.609,5.566
PHL,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",5.4150584116388325,4.5748421611368215,6.045071747189556,6.172605257753128
PHL,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",5264401242.3,4682281514.6,6525794572.6,5652127911.9
PHL,"Debt service on external debt, total (TDS, current US$)",11208123501.1,8811185518.0,10619840093.8,9290532908.7
PHL,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),56.9,,,
PHL,Deposit interest rate (%),1.8785,3.11671003598467,4.08365194191513,
PHL,"Depositors with commercial banks (per 1,000 adults)",507.035778646856,576.091093603488,658.278993201935,686.503998069815
PHL,Depth of credit information index (0=low to 8=high),7.0,7.0,7.0,
PHL,Diabetes prevalence (% of population ages 20 to 79),,,,
PHL,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),44.8,,,
PHL,Diarrhea treatment (% of children under 5 who received ORS packet),44.8,,,
PHL,Disaster risk reduction progress score (1-5 scale; 5=best),,,,
PHL,Discrepancy in expenditure estimate of GDP (constant LCU),,-600.0,-600.0,-700.0
PHL,Discrepancy in expenditure estimate of GDP (current LCU),-200.0,-600.0,700.0,0.0
PHL,Domestic credit provided by financial sector (% of GDP),82.33906416771167,82.85500163260824,86.49345213231008,100.27491388196673
PHL,Domestic credit to private sector (% of GDP),45.6051977883867,47.5627907974214,47.9736686635763,52.0356914003601
PHL,Domestic credit to private sector by banks (% of GDP),45.60519410104681,47.562787454997995,47.97366557565337,52.03568804301327
PHL,Domestic general government health expenditure (% of GDP),1.48,1.54,1.69,2.33
PHL,Domestic general government health expenditure (% of current health expenditure),37.44,38.86,40.6,45.2
PHL,Domestic general government health expenditure (% of general government expenditure),7.62,7.35,7.8,9.0
PHL,Domestic general government health expenditure per capita (current US$),46.0,49.0,58.0,75.0
PHL,"Domestic general government health expenditure per capita, PPP (current international $)",119.0,132.0,154.0,191.0
