DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1974-0052-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Carmen (Tering),PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1974,10.0,15.0,1974,10.0,15.0,13.0,9.0,7776.0,,7785.0,,,,,11600.0,71682.0,16.18249195,,2003-07-01,2023-09-25
1974-0054-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Elaine (Wening),PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1974,10.0,25.0,1974,10.0,25.0,23.0,50.0,55575.0,,55625.0,,,,,21000.0,129770.0,16.18249195,,2003-07-01,2023-09-25
1974-0056-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gloria (Aning),PHL,Philippines,South-eastern Asia,Asia,North Luzon,,,No,No,No,,,Kph,,,,1974,11.0,4.0,1974,11.0,4.0,3.0,2.0,22835.0,1301.0,24138.0,,,,,3200.0,19774.0,16.18249195,,2003-07-01,2023-09-25
1974-0058-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Irma (Bidang),PHL,Philippines,South-eastern Asia,Asia,South Luzon,,,No,No,No,,,Kph,,,,1974,11.0,23.0,1974,11.0,23.0,11.0,,,5000.0,5000.0,,,,,7300.0,45110.0,16.18249195,,2003-07-01,2023-09-25
1974-0079-PHL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Agusan Del Norte,,,No,No,No,,,Km2,,,,1974,2.0,11.0,1974,2.0,11.0,,,1823.0,,1823.0,,,,,,,16.18249195,,2003-07-01,2023-09-25
1974-0081-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,Agusan Del Norte,,,No,No,No,,,,,,,1974,3.0,17.0,1974,3.0,17.0,,,500.0,,500.0,,,,,283.0,1749.0,16.18249195,,2003-07-01,2023-09-25
1975-0077-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lola (Auring),PHL,Philippines,South-eastern Asia,Asia,Mindanao,,,No,No,No,,,Kph,,,,1975,1.0,22.0,1975,1.0,22.0,39.0,8.0,4518.0,698.0,5224.0,,,,,2161.0,12235.0,17.66208582,,2003-07-01,2023-09-25
1975-0080-PHL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Davao Del Norte,,,No,No,No,,,Km2,,,,1975,3.0,3.0,1975,3.0,3.0,,,99.0,,99.0,,,,,,,17.66208582,,2003-07-01,2023-09-25
1975-0082-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,"Sta Cruz, Manila",,,No,No,No,,,,,,,1975,3.0,11.0,1975,3.0,11.0,,,500.0,,500.0,,,,,333.0,1885.0,17.66208582,,2003-07-01,2023-09-25
1975-0083-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,Dumaguete City,,,No,No,No,,,,,,,1975,6.0,27.0,1975,6.0,27.0,,,1000.0,,1000.0,,,,,400.0,2265.0,17.66208582,,2003-07-01,2023-09-25
1975-0084-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,General Santos City,,,No,No,No,,,,,,,1975,6.0,28.0,1975,6.0,28.0,1.0,2.0,500.0,,502.0,,,,,800.0,4529.0,17.66208582,,2003-07-01,2023-09-25
1976-0038-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Olga (Didang),PHL,Philippines,South-eastern Asia,Asia,"Luzon, Manila",,,Yes,No,No,,,Kph,,,,1976,5.0,17.0,1976,5.0,17.0,274.0,,2700000.0,,2700000.0,,,,,85000.0,455112.0,18.6767338,,2003-07-01,2023-09-25
1976-0054-PHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PHL,Philippines,South-eastern Asia,Asia,"Gulf of Moro, Sulu (Mindanao)",,Tsunami/Tidal wave,Yes,No,No,,7.9,Moment Magnitude,6.262,124.023,,1976,8.0,17.0,1976,8.0,17.0,6000.0,6348.0,175000.0,,181348.0,,,,,134000.0,717470.0,18.6767338,,2004-01-27,2023-09-25
1976-0061-PHL,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Taal,PHL,Philippines,South-eastern Asia,Asia,40 miles South Manilla,,,No,No,No,,,,,,,1976,9.0,3.0,1976,9.0,3.0,,,11510.0,,11510.0,,,,,679.0,3636.0,18.6767338,,2003-07-01,2023-09-25
