Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Puerto Rico,PRI,2449304958.98984,5654437798.01103,12561255326.37,13134333172.5548,13345476669.6746,12883617365.3684,12530271898.0898,13154231611.2039,13693173418.2128,14087979671.492,..,..,12464687797.6715,12399814348.611,12327245034.9341,12185380054.7412,11129748149.669,10482637145.611,9972956033.86505,8051699459.84842,8241086672.87363,7349862909.35608,6721400100.73875,6261582838.42795,6367976313.98939,5240450244.56577,5035674184.24258,4145355908.45272,3614562896.93129,3479142873.52311,3219484742.41667,3118721036.09235,2884228206.8435,2699200385.98363,2087142129.23647,1995592842.94235,1850897376.27793,1459432267.55401,1374206028.45922,1337681361.12479,1133053885.77315,1112695342.86762,1048287477.9319,888258585.327374,763963192.809758,701170596.727623,644878215.340554,602692756.201206,548961833.619949,539219856.801909,514648846.205148,456284331.466322,406726927.338927,359748011.26364,..,..,..,..,..,..,..,..,..,..
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Puerto Rico,PRI,8.54990230866067,8.82755906152752,8.62495026820096,8.62495026820096,8.62495026820096,8.62495026820096,8.62495026820096,8.62495026820096,8.62495026820096,8.62495026820096,..,..,9.18851284025442,9.16074716496774,9.13298148968106,9.10521581439437,9.07745013910768,9.049684463821,9.02191878853431,8.99415311324763,8.96638743796094,8.93862176267426,8.91085608738758,8.88309041210089,8.85532473681421,8.79979338624084,8.77202771095416,8.74426203566747,8.71649636038079,8.6887306850941,8.66096500980742,8.63319933452073,8.60543365923404,8.57766798394736,8.52213663337399,8.49437095808731,8.46660528280062,8.43883960751394,8.41107393222725,8.38330825694057,8.35554258165389,8.3277769063672,8.30001123108052,8.27224555579383,8.24447988050715,8.21671420522046,7.69273965531638,8.23616817582688,6.66593152988501,7.0896372234071,6.85459841061092,7.52418885242406,7.35202709520749,7.3400899,..,..,..,..,..,..,..,..,..,..
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Puerto Rico,PRI,1848413554.4931,3656251377.45784,5933750160.76556,6003137885.67323,6036188695.10098,5955485035.44142,5830561255.7568,6103454682.24268,6081340309.75501,6346307406.94441,..,..,6335010989.20057,6237158832.49844,6002259365.88882,5854162087.00161,5774883152.04738,5674432699.03414,5471136101.49789,5203506069.46333,4919128743.44837,4632576327.39807,4230821005.1551,4003724328.90923,3900469465.52561,3368666505.77363,3079920333.50998,2828130962.06555,2646062529.03758,2472147717.53114,2307359980.00394,2169776549.82951,2039181509.85454,1956476344.73128,1708807704.90435,1586875910.53508,1464765046.95092,1354796627.10911,1261846133.4606,1189004610.08188,1090272973.76711,1057086361.60972,1013572471.50586,915290881.766364,827498445.606503,739233126.901069,629396880.379021,621814224.938578,478253923.54313,482917729.109598,432045337.820807,433987688.818967,385863790.06487,344066714.0625,..,..,..,..,..,..,..,..,..,..
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Puerto Rico,PRI,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Puerto Rico,PRI,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Puerto Rico,PRI,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Puerto Rico,PRI,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
